Character,Middle Chinese,Cantonese,Mandarin
邯,han1,hon4,han2
邯,ham1,ham4,han2
邰,thoj1,toi4,tai2
邱,khjuw1,jau1,qiu1
邲,pij3,bat6,bi4
邳,bij1,pei4,pi1
邴,pjæng2,bing2,bing3
邵,dzyew3,siu6,shao4
邶,bwoj3,bui3,bei4
邸,tej2,dai2,di3
邽,kwej1,gwai1,gui1
邾,trju1,zyu1,zhu1
邿,syi1,si1,shi1
郁,ʔjuwk4,juk1,yu4
郃,hop4,gap3,he2
郅,tsyit4,zat6,zhi4
郇,swin1,seon1,xun2
郇,hwæn1,waan4,huan2
郊,kæw1,gaau1,jiao1
郋,hej1,hai4,xi2
郎,lang1,long4,lang2
郎,lang1,long4,lang2
郖,tuw1,dau6,dou1
郙,phju1,fu2,fu3
郚,ngu1,ng4,wu2
郛,phju1,fu1,fu2
郜,kaw3,gou3,gao4
郝,xak4,kok3,hao3
郟,kɛp4,gaap3,jia2
郡,gjun3,gwan6,jun4
郢,yieng2,jing5,ying3
郤,khjæk4,gwik1,xi4
部,bu2,bou6,bu4
郪,tshij1,cai1,qi1
郫,bje1,pei4,pi2
郭,kwak4,gwok3,guo1
郯,dam1,taam4,tan2
郰,tsrjuw1,zau1,zou1
郱,beng1,ping4,ping2
郲,loj1,loi4,lai2
郳,ngej1,ngai4,ni2
郴,trhim1,sam1,chen1
郵,hjuw1,jau4,you2
郹,kwek4,gwik1,ju2
郻,khew1,hiu1,qiao1
郼,ʔjɨj1,ji1,yi1
都,tu1,dou1,du1
郾,ʔjon2,jin2,yan3
郿,mij1,mei4,mei2
鄀,nyak4,joek6,ruo4
鄁,bwoj3,bui3,bei4
鄂,ngak4,ngok6,e4
鄃,yu1,syu1,shu1
鄄,kjwen3,gyun3,juan4
鄅,hju2,geoi2,yu3
鄆,hjun3,wan6,yun4
鄉,xjang1,hoeng1,xiang1
鄍,meng1,ming4,ming2
鄏,nyowk4,juk6,ru3
鄑,tsje1,zi1,zi1
鄒,tsrjuw1,zau1,zou1
鄔,ʔu1,wu1,wu1
鄖,hjun1,wan4,yun2
鄗,khæw1,haau1,hao4
鄘,yowng1,jung4,yong1
鄙,pij2,pei2,bi3
鄚,mak4,mok6,mao4
鄛,dzræw1,caau4,chao2
鄜,phju1,fu1,fu1
鄝,lew2,liu5,liao3
鄞,ngin1,ngan4,yin2
鄟,dwan1,zyun1,zhuan1
鄠,hu2,wu6,hu4
鄣,tsyang1,zoeng1,zhang1
鄦,xjo2,heoi2,xu3
鄧,dong3,dang6,deng4
鄨,pjej3,bit3,bi4
鄩,zim1,cam4,xun2
鄪,pij3,bei3,bi4
鄭,drjieng3,zeng6,zheng4
鄮,muw3,mau6,mao4
鄯,dzyen2,sin6,shan4
鄰,lin1,leon4,lin2
鄱,bwa1,bo3,po2
鄲,tan1,daan1,dan1
鄳,mæng1,maang4,meng2
鄵,tshaw3,cou3,cao4
鄶,kwaj3,kui2,kuai4
鄸,mjuwng3,mung4,meng2
鄹,tsrjuw1,zau1,zou1
鄺,xwang1,kwong3,kuang4
鄾,ʔjuw1,jau1,you1
酃,leng1,ling4,ling2
酄,xwan1,hyun1,huan1
酅,hwej1,kwai4,xi1
酆,phjuwng1,fung1,feng1
酇,dzwan1,co4,cuo2
酈,lje1,lik6,li4
酊,teng2,ding2,ding3
酋,dzjuw1,jau4,qiu2
酌,tsyak4,zoek3,zhuo2
配,phwoj3,pui3,pei4
酎,drjuw3,zau6,zhou4
酏,ye1,ji4,yi2
酐,xang2,hong5,hang3
酓,ʔjem2,jim2,yan3
酓,ʔem3,jim3,yan4
酖,tom1,daam1,dan1
酗,xju3,jyu3,xu4
酘,duw3,tau4,dou4
酡,da1,to4,tuo2
酢,dzak4,zok6,zuo4
酣,ham1,ham4,han1
酤,ku1,gu1,gu1
酤,hu2,wu6,gu1
酤,ku3,gu1,gu1
酥,su1,sou1,su1
酨,dzoj3,zoi6,zai4
酩,meng2,ming4,ming3
酪,lak4,lok3,lao4
酬,dzyuw1,cau4,chou2
酮,duwng1,tung4,tong2
酲,drjieng1,cing4,cheng2
酳,yin3,jan6,yin4
酴,du1,tou4,tu2
酵,kæw3,haau1,jiao4
酷,khowk4,huk6,ku4
酸,swan1,syun1,suan1
酹,lwaj3,laai6,lei4
酺,bu1,pou4,pu2
醁,ljowk4,luk6,lu4
醂,lom2,lam5,lan3
醃,ʔjem1,jim1,yan1
醅,phwoj1,pui1,pei1
醆,tsrɛn2,zaan1,zhan3
醇,dzywin1,seon4,chun2
醉,tswij3,zeoi3,zui4
醊,trjwej3,zyut3,zhui4
醋,tshu3,cou3,cu4
醍,dej1,tai4,ti2
醏,tu1,dou1,du1
醐,hu1,wu4,hu2
醒,seng1,seng2,xing3
醜,tshyuw2,cau2,chou3
醝,dza1,co4,cuo1
醞,ʔjun2,wan2,yun4
醟,hjwæng3,wing6,yong4
醠,ʔang2,ong3,ang4
醢,xoj2,hoi2,hai3
醥,phjew2,piu2,piao3
醨,lje1,lei4,li2
醪,law1,lou4,lao2
醫,ʔi1,ji1,yi1
醬,tsjang3,zoeng3,jiang4
醭,phuwk4,buk6,bu2
醮,tsjew1,ziu3,jiao4
醯,xej1,hei1,xi1
醰,dom2,taam4,tan2
醲,nrjowng1,nung4,nong2
醳,yek4,jik6,yi4
醴,lej2,lai5,li3
醷,ʔi2,jik1,yi4
醹,nyu1,jyu4,ru2
醺,xjun1,fan1,xun1
醽,leng1,ling4,ling2
釀,nrjang3,joeng6,niang4
釁,xin3,jan3,xin4
釃,srje1,si1,shi1
釅,ngjæm3,jim6,yan4
釆,bɛn3,bin6,bian4
采,tshoj2,coi2,cai3
釋,syek4,sik1,shi4
里,li2,lei5,li3
重,drjowng2,cung5,zhong4
重,drjowng3,zung6,zhong4
重,drjowng1,cung4,chong2
野,yæ2,je5,ye3
野,dzyo2,seoi5,shu4
量,ljang1,loeng4,liang2
量,ljang3,loeng6,liang4
釐,li1,lei4,li2
金,kim1,gam1,jin1
釕,tew2,liu5,liao3
釗,kew1,ciu1,zhao1
釘,teng1,deng1,ding1
釘,teng3,deng1,ding4
釜,bju2,fu2,fu3
針,tsyim1,zam1,zhen1
釟,pɛt4,baat3,ba1
釣,tew3,diu3,diao4
釤,sræm3,saam3,shan4
釥,tshjew2,ciu2,qiao3
釦,khuw2,kau3,kou4
釧,tshywen3,cyun3,chuan4
釪,hju1,jyu4,hua2
釫,ʔu1,wu1,wu1
釬,han3,hon6,han4
釭,kuwng1,gong1,gang1
釱,dej3,dai6,di4
釱,daj3,daai6,dai4
釳,xjɨt4,hat1,xi4
釴,yik4,jik6,yi4
釵,tshrɛɨ1,caai1,chai1
釿,kjɨn1,gan1,jin1
鈂,drim1,cam4,chen2
鈃,heng1,jing4,xing2
鈄,thuw2,dau2,tou3
鈌,kwet4,kyut3,jue2
鈍,dwon3,deon6,dun4
鈏,yin2,jan5,yin3
鈐,gjem1,kim4,qian2
鈑,pæn2,baan2,ban3
鈒,srip4,zaap6,sa4
鈔,tshræw1,caau1,chao1
鈕,nrjuw2,nau2,niu3
鈙,gim3,kam4,qin2
鈚,bij1,pei4,bi1
鈜,hwɛng1,wang4,hong2
鈞,kwin1,gwan1,jun1
鈭,tsje1,zi1,zi1
鈳,ʔa1,o1,e1
鈴,leng1,ling4,ling2
鈵,pjæng3,bing3,bing3
鈶,zi2,toi4,tai2
鈷,ku2,gu2,gu3
鈸,bwat4,bat6,bo2
鈹,phje1,pei1,pi1
鈼,dzak4,zok6,zuo2
鈿,den1,din6,dian4
鉅,gjo2,geoi6,ju4
鉉,hwen2,jyun5,xuan4
鉊,tsyew1,ziu1,zhao1
鉌,hwa1,wo4,he2
鉍,pij3,bit1,bi4
鉎,sræng1,sang1,sheng1
鉒,trju3,zyu3,zhu4
鉗,gjem1,kim4,qian2
鉛,ywen1,jyun4,qian1
鉛,ywen1,jyun4,yan2
鉞,hjwot4,jyut6,yue4
鉟,bij1,pei1,pi1
鉠,ʔjang1,joeng1,yang1
鉤,kuw1,ngau1,gou1
鉦,tsyieng1,zing1,zheng1
鉶,heng1,jing4,xing2
鉷,huwng1,hung4,hong2
鉸,kæw1,gaau3,jiao3
鉻,lak4,gok3,ge2
鉻,lak4,lok6,luo4
鉼,pjieng2,bing2,bing3
鉿,kop4,hap6,ha1
銀,ngin1,ngan4,yin2
銃,tshyuwng3,cung3,chong4
銅,duwng1,tung4,tong2
銇,lwoj3,leoi6,lei4
銉,ywit4,jyut6,yu4
銋,nyim1,jam4,ren2
銍,tsyit4,zat6,zhi4
銐,tshyej3,cai3,chi4
銑,sen2,sin2,xian3
銑,sen2,sin2,xi3
銓,tshjwen1,cyun4,quan2
銖,dzyu1,zyu1,zhu1
銗,huw1,hau4,hou2
銘,meng1,ming4,ming2
銙,khwæ2,kwaa1,kua3
銚,yew1,jiu4,yao2
銚,dew3,diu6,diao4
銛,sjem1,cim1,xian1
銜,hæm1,haam4,xian2
銳,ywej3,jeoi6,rui4
銶,gjuw1,kau4,qiu2
銷,sjew1,siu1,xiao1
銼,dzwa1,co3,cuo4
銿,yowng1,jung4,yong1
鋀,thuw1,dau6,dou4
鋂,mwoj1,mui4,mei2
鋃,lang1,long4,lang2
鋈,ʔowk4,juk1,wu4
鋊,yowk4,juk6,yu4
鋋,yen1,jin4,chan2
鋏,kep4,gaap3,jia2
鋑,tsjwen1,zeon3,cuan1
鋒,phjowng1,fung1,feng1
鋗,xwen1,hyun1,xuan1
鋘,ngu1,ng4,hua2
鋙,ngjo1,ng4,wu2
鋝,ljwet4,lyut3,lüe4
鋟,tshim2,cim1,qin3
鋟,tsjem1,zim1,jian1
鋤,dzrjo1,co4,chu2
鋥,dræng3,caang3,zeng4
鋦,kjowk4,guk1,ju1
鋩,mjwang1,mong4,mang2
鋪,phu1,pou1,pu1
鋪,phu3,pou3,pu4
鋸,kjo3,goe3,ju4
鋹,trhjang2,cong2,chang3
鋼,kang1,gong3,gang1
鋽,thew3,tiu3,diao4
錀,phjun1,fan1,fan1
錍,pje1,pai1,pi1
錎,khom2,haam6,ke1
錏,ʔæ1,aa1,ya1
錐,tsywij1,zeoi1,zhui1
錔,thop4,taap3,ta4
錕,kwon1,kwan1,kun1
錖,towk4,duk1,du2
錘,drjwe1,ceoi4,chui2
錙,tsri1,zi1,zi1
錚,tshrɛng1,zaang1,zheng1
錝,tsowng3,cung4,chun2
錞,dzywin1,seon4,chun2
錞,dwoj2,deoi6,dui4
錟,dam1,taam4,tan2
錠,deng3,ding3,ding4
錡,gje1,kei4,qi2
錢,dzjen1,cin4,qian2
錢,tsjen2,zin2,jian3
錣,trjwej3,zyut3,zhui4
錤,gi1,gei1,ji1
錦,kim2,gam2,jin3
錧,kwan2,gun2,guan3
錫,sek4,sek3,xi1
錭,daw1,diu1,tao2
錮,ku3,gu3,gu4
錯,tshu3,co3,cuo4
錯,tshak4,cok3,cuo4
錯,tshu3,cou3,cu4
鍇,kɛj1,kaai2,kai3
鍉,tej1,dik6,di1
鍊,len3,lin6,lian4
鍋,kwa1,wo1,guo1
鍍,du1,dou6,du4
鍏,hjwɨj1,wai4,wei2
鍑,pjuw3,fuk1,fu4
鍒,nyuw1,jau4,rou2
鍔,ngak4,ngok6,e4
鍚,yang1,joeng4,yang2
鍛,twan3,dyun3,duan4
鍜,hæ1,dyun3,xia2
鍠,hwæng1,wong4,huang2
鍡,ʔwoj2,wui2,wei3
鍤,tshrɛp4,caap3,cha1
鍥,ket4,kit3,qie4
鍦,sye1,si1,shi1
鍧,xwɛng1,gwang1,hong1
鍪,mjuw1,mau4,mou2
鍭,huw1,hau4,hou2
鍰,hwæn1,waan4,huan2
鍱,yep4,dip6,ye4
鍵,gjen1,gin6,jian4
鍾,tsyowng1,zung1,zhong1
鎒,nuw3,nau6,nou4
鎔,yowng1,jung4,rong2
鎖,swa2,so2,suo3
鎛,pwak4,bok3,bo2
鎞,pej1,bai1,bi1
鎡,tsi1,zi1,zi1
鎣,ywieng1,jing4,ying2
鎦,ljuw1,lau4,liu2
鎧,khoj2,hoi2,kai3
鎩,srjej3,saat3,sha1
鎬,haw2,hou6,hao4
鎮,trin1,zan3,zhen4
鎰,yit4,jat6,yi4
鏂,ʔuw1,au1,ou1
鏃,tsuwk4,zuk6,zu2
鏇,zjwen1,syun6,xuan4
鏊,ngaw3,ngou4,ao4
鏋,mwan2,mun5,man3
鏌,mak4,mok6,mo4
鏏,zjwej3,seoi6,hui4
鏐,ljuw1,lau4,liu2
鏑,tek4,dik1,di2
鏔,yij1,ji4,yi2
鏕,luwk4,ou4,ao2
鏖,ʔaw1,ou1,ao2
鏗,khɛng1,hang1,keng1
鏘,tshjang1,coeng1,qiang1
鏜,thang1,tong1,tang1
鏝,mwan1,maan6,man4
鏞,yowng1,jung4,yong1
鏟,tshrɛn2,caan2,chan3
鏡,kjæng3,geng3,jing4
鏢,phjew1,biu1,biao1
鏤,lju1,lau6,lou4
鏦,tshjowng1,cung1,cong1
鏨,dzam1,zaam6,zan4
鏵,hwæ1,waa4,hua2
鏹,kjang2,koeng5,qiang3
鏺,phwat4,put3,po1
鏻,lin1,leon4,lin2
鐁,sje1,si1,si1
鐃,nræw1,naau6,nao2
鐇,bjwon1,faan4,fan2
鐎,dzjew1,jiu1,jiao1
鐏,dzwon3,zyun3,zun1
鐐,lew1,liu4,liao4
鐓,dwoj3,deoi6,dui4
鐔,zim1,taam4,tan2
鐘,tsyowng1,zung1,zhong1
鐙,tong3,dang3,deng4
鐧,kæn3,gaan3,jian4
鐩,zwij3,seoi6,sui4
鐪,lu2,lou5,lu3
鐫,tsjwen1,zyun1,juan1
鐬,xwaj3,wai3,hui4
鐮,ljem1,lim4,lian2
鐰,tshjew1,cou4,qiao1
鐲,dzyowk4,zuk6,zhuo2
鐳,lwoj1,leoi4,lei2
鐵,thet4,tit3,tie3
鐶,hwæn1,waan4,huan2
鐸,dak4,dok6,duo2
鐹,kwa2,gwo2,guo4
鐺,tang1,dong1,dang1
鐺,tshræng1,caang1,cheng1
鐼,bjun1,ban1,ben1
鑄,tsyu3,zyu3,zhu4
鑈,nej2,nai5,nie4
鑊,hwak4,wok6,huo4
鑋,khjieng1,hing1,qing1
鑌,pin1,ban1,bin1
鑐,sju1,seoi1,xu1
鑑,kæm1,gaam3,jian4
鑒,ken1,gaam3,jian4
鑕,tsyit4,zat1,zhi4
鑞,lap4,laap6,la4
鑠,syak4,soek3,shuo4
鑢,ljo3,leoi6,lü4
鑣,pjew1,biu1,biao1
鑩,ngak4,ngok6,e4
鑪,lu1,lou4,lu2
鑮,bwak4,bok3,bo2
鑰,yak4,joek6,yao4
鑱,dzræm1,caam4,chan2
鑲,nyang1,soeng1,xiang1
鑴,xjwe1,kwai4,xi1
鑷,nrjep4,nip6,nie4
鑼,la1,lo4,luo2
鑽,tswan1,zyun3,zuan1
鑽,tswan3,zyun3,zuan4
鑾,lwan1,lyun4,luan2
鑿,dzuwk4,zok6,zao2
鑿,dzuwk4,zok6,zao2
钀,ngjot4,jit6,nie4
钁,kjwak4,kyut3,jue2
長,drjang1,coeng4,chang2
長,trjang2,zoeng2,zhang3
镺,ʔaw2,ou2,ao3
門,mwon1,mun4,men2
閃,syem2,sim2,shan3
閇,pej3,bai3,bi4
閈,han3,hon6,han4
閉,pej3,bai3,bi4
開,khoj1,hoi1,kai1
閌,khang3,kong3,kang1
閎,hwɛng1,wang4,hong2
閑,hɛn1,haan4,xian2
閑,hɛn1,haan4,xian2
閒,kɛn1,haan4,xian2
閔,min2,man5,min3
閘,kap4,zaap6,zha2
閜,xæ2,haa1,xia3
閞,bjwon3,bin6,bian4
閟,pij3,bei3,bi4
閠,nywin3,jeon6,run4
閡,ngoj3,ngoi6,he2
閣,kak4,gok3,ge2
閤,kop4,gap3,ge2
閥,bjwot4,fat6,fa2
閨,kwej1,gwai1,gui1
閩,min1,man5,min3
閫,khwon2,kwan2,kun3
閬,lang1,long5,lang2
閭,ljo1,leoi4,lü2
閱,ywet4,jyut6,yue4
閶,tshyang1,coeng1,chang1
閹,ʔjem1,jim1,yan1
閻,yem1,jim4,yan2
閼,ʔen1,jin1,yan1
閽,xwon1,fan1,hun1
閾,xwik4,wik6,yu4
闃,khwek4,gwik1,qu4
闇,ʔom3,am3,an4
闈,hjwɨj1,wai4,wei2
闉,ʔin1,jan1,yin1
闊,khwat4,fut3,kuo4
闋,khwet4,kyut3,que4
闌,lan1,laan4,lan2
闍,tu1,dou1,du1
闍,dzyæ1,se4,she2
闐,den1,tin4,tian2
闐,den3,tin4,tian2
闑,nget4,jit6,nie4
闒,dap4,taap3,ta4
闓,khoj2,hoi2,kai3
闔,hap4,hap6,he2
闕,khjwot4,kyut3,que4
闕,khjwot4,kyut3,que1
闖,trhim3,cong2,chuang3
闚,khjwe1,kwai1,kui1
闛,dang1,tong1,tang2
關,kwæn1,gwaan1,guan1
闞,kham3,ham3,kan4
闞,xɛm2,haam2,han3
闞,xæm3,haam3,xian4
闟,xip4,hap1,xi4
闠,hwoj3,kui2,hui4
闡,tshyen2,cin2,chan3
闢,bjiek4,pik1,pi4
闣,tang3,dong3,dang4
闤,hwæn1,waan4,huan2
闥,that4,taat3,ta4
阜,bjuw2,fau6,fu4
阠,srin1,seon3,xin4
阡,tshen1,cin1,qian1
阤,drje2,to4,tuo2
阪,pjwon2,baan2,ban3
阬,khæng1,haang1,keng1
阬,khang3,kong3,kang4
阮,ngjwon1,jyun2,ruan3
阰,bij1,pei4,pi2
阱,dzjieng2,zing6,jing3
防,bjwang1,fong4,fang2
阸,ʔɛɨ3,aai3,e4
阹,khjo1,keoi1,qu1
阺,drij1,dai2,di3
阻,tsrjo2,zo2,zu3
阼,dzu3,zou6,zuo4
阽,yem1,dim3,dian4
阿,ʔa1,o1,e1
陀,da1,to4,tuo2
陂,pje1,bei1,bei1
陂,pje1,bei3,bi4
附,bju3,fu6,fu4
陊,drje2,do6,duo4
陋,luw3,lau6,lou4
陌,mæk4,mak6,mo4
降,kæwng3,gong3,jiang4
降,hæwng1,hong4,xiang2
限,hɛn2,haan6,xian4
陑,nyi1,ji4,er2
陓,ʔju1,jyu1,yu1
陘,heng1,jing4,xing2
陛,bej2,bai6,bi4
陝,syem2,sim2,shan3
陞,sying1,sing1,sheng1
陟,trik4,zik1,zhi4
陡,tuw2,dau2,dou3
院,hwan1,jyun6,yuan4
陣,drin3,zan6,zhen4
除,drjo1,ceoi4,chu2
陪,bwoj1,pui4,pei2
陫,bjwɨj2,fei6,pei2
陬,tsju1,zau1,zou1
陭,ʔje1,ji2,yi4
陯,lwin1,leon4,lun2
陰,ʔim1,jam1,yin1
陲,dzywe1,seoi4,chui2
陳,drin1,can4,chen2
陳,drin1,can4,chen2
陴,bje1,pei4,bi4
陵,ling1,ling4,ling2
陶,daw1,tou4,tao2
陶,yew1,jiu4,yao2
陷,hɛm3,ham6,xian4
陸,ljuwk4,luk6,lu4
陽,yang1,joeng4,yang2
陾,nuw2,jing4,reng2
陾,nyi1,ji4,er2
隅,ngju1,jyu4,yu2
隆,ljuwng1,lung4,long2
隇,ʔjwɨj1,wai1,sui4
隈,ʔwoj1,wui1,wei1
隉,nget4,nip6,nie4
隊,dwoj3,deoi6,dui4
隋,zjwe1,ceoi4,sui2
隍,hwang1,wong4,huang2
階,kɛj1,gaai1,jie1
隑,ngoj1,goi1,gai1
隒,ngjem2,jim2,yan3
隓,xjwe1,fai1,hui1
隔,kɛk4,gaak3,ge2
隕,hjin2,wan5,yun3
隗,ngwoj2,ngai5,wei3
隘,ʔɛɨ3,aai3,ai4
隙,khjæk4,gwik1,xi4
際,tsjej3,zai3,ji4
障,tsyang1,zoeng3,zhang4
隤,dwoj1,teoi4,tui2
隥,tong3,dang3,deng4
隧,zwij3,seoi6,sui4
隨,zjwe1,ceoi4,sui2
隩,ʔjuwk4,juk1,yu4
隩,ʔaw3,ou3,ao4
險,xjem2,him2,xian3
隮,tsej1,zai1,ji1
隰,zip4,zaap6,xi2
隱,ʔjɨn2,jan2,yin3
隳,xjwe1,fai1,hui1
隴,ljowng2,lung5,long3
隸,lej3,dai6,li4
隹,tsywij1,zeoi1,zhui1
隺,howk4,hok6,hu2
隻,tsyek4,zek3,zhi1
隼,swin2,zeon2,sun3
隿,yik4,jik6,yi4
雀,tsjak4,zoek3,que4
雁,ngæn3,ngaan6,yan4
雄,hjuwng1,hung4,xiong2
雅,ngæ2,ngaa5,ya3
集,dzip4,zaap6,ji2
雉,drij2,zi6,zhi4
雊,kuw3,gau3,gou4
雋,dzjwen2,syun5,juan4
雌,tshje1,ci1,ci2
雍,ʔjowng1,jung1,yong1
雎,tshjo1,zeoi1,ju1
雒,lak4,lok3,luo4
雓,yo1,jyu4,yu2
雔,dzyuw1,cau4,chou2
雕,tew1,diu1,diao1
雖,swij1,seoi1,sui1
雖,swij1,seoi1,sui1
雖,swij1,seoi1,sui1
雘,ʔwak4,wok3,huo4
雙,sræwng1,soeng1,shuang1
雚,kwan3,gun3,guan4
雛,dzrju1,co4,chu2
雜,dzop4,zaap6,za2
雝,ʔjowng1,jung1,yong1
雞,kej1,gai1,ji1
雟,hwej1,kwai1,gui1
離,lje1,lei4,li2
難,nan1,naan4,nan2
難,nan3,naan6,nan4
雩,hju1,jyu4,yu2
雪,sjwet4,syut3,xue3
雯,mjun1,man4,wen2
雰,phjun1,fan1,fen1
雱,phang1,pong4,pang1
雲,hjun1,wan4,yun2
雴,trhip4,cap1,chi4
雷,lwoj1,leoi4,lei2
雹,bæwk4,bok6,bao2
雺,muwng1,mung4,meng2
電,den3,din6,dian4
需,sju1,seoi1,xu1
霂,muwk4,muk6,mu4
霃,drim1,cam4,chen2
霄,sjew1,siu1,xiao1
霅,sop4,saap3,sa4
霅,tsyep4,zip3,zha2
霆,deng1,ting4,ting2
震,tsyin3,zan3,zhen4
霈,phaj3,pui3,pei4
霍,xwak4,fok3,huo4
霎,srjep4,saap3,sha4
霏,phjwɨj1,fei1,fei1
霓,ngej1,ngai4,ni2
霖,lim1,lam4,lin2
霙,ʔjang1,jing1,ying1
霜,srjang1,soeng1,shuang1
霝,leng1,ling4,ling2
霞,hæ1,haa4,xia2
霢,mɛk4,mak6,mai4
霣,hjin2,wan5,yun3
霤,ljuw3,lau6,liu4
霦,pin1,ban1,bin1
霧,mju3,mou6,wu4
霩,xwak4,kwok3,kuo4
霪,yim1,jam4,yin2
霫,zip4,zap6,xi2
霰,sen3,sin3,xian4
露,lu3,lou6,lu4
露,lu3,lou6,lou4
霸,pæ3,baa3,ba4
霹,phek4,pik1,pi1
霽,tsej3,zai3,ji4
霾,mɛj1,maai4,mai2
霿,muwng1,mung6,meng2
靂,lek4,lik6,li4
靃,sjwe2,fok3,huo4
靄,ʔaj3,oi2,ai3
靆,doj3,doi6,dai4
靈,leng1,ling4,ling2
靉,ʔoj3,oi2,ai4
靖,dzjieng2,zing6,jing4
靘,tsheng3,cing3,qing4
靘,tsheng1,cing1,qing1
靚,dzjieng3,zing6,jing4
靜,dzjieng2,zing6,jing4
非,pjwɨj1,fei1,fei1
靠,khaw3,kaau3,kao4
靡,mje2,mei5,mi3
面,mjen3,min6,mian4
靨,ʔjep4,jip3,ye4
革,kɛk4,gaak3,ge2
靬,kjon1,gin1,jian1
靬,kɛn1,gin1,jian1
靬,kjon1,gin1,qian2
靮,tek4,dik1,di2
靲,gim1,kam4,qin2
靳,kjɨn3,gan3,jin4
靴,xjwa1,hoe1,xue1
靶,pæ3,baa2,ba3
靷,yin2,jan5,yin3
靸,sop4,saap3,sa3
靺,mwat4,mut6,mo4
靻,tsu2,zou2,zu3
靼,tat4,daat3,da2
靾,yej3,sit3,yi4
靿,ʔæw3,aau3,yao4
鞀,daw1,tou4,tao2
鞁,bje3,pei5,bei4
鞃,hwong1,wang4,hong2
鞄,bæw1,paai4,pao2
鞅,ʔjang2,joeng2,yang1
鞇,ʔin1,jan1,yin1
鞈,kop4,gaap3,ge2
鞋,hɛɨ1,haai4,xie2
鞎,hon1,han4,hen2
鞏,kjowng2,gung2,gong3
鞘,sjew3,ciu3,qiao4
鞘,sræw1,saau1,shao1
鞚,khuwng3,hung3,kong4
鞜,thop4,daap6,ta4
鞠,kjuwk4,guk1,ju1
鞤,pang1,bong1,bang1
鞥,ʔop4,ang1,eng1
鞦,tshjuw1,cau1,qiu1
鞧,tshjuw1,cau1,qiu1
鞨,hat4,hot3,he2
鞪,mjuw1,mau4,mu4
鞫,kjuwk4,guk1,ju1
鞬,kjon1,gin1,jian1
鞭,pjen1,bin1,bian1
鞮,tej1,dai1,di1
鞳,thap4,daap6,ta4
鞶,bwan1,pun4,pan2
鞹,khwak4,kwok3,kuo4
鞻,luw1,lau4,lou2
鞿,kjɨj1,gei1,ji1
韁,kjang1,goeng1,jiang1
韄,hu3,waak6,hu4
韅,xen2,hin2,xian3
韆,tshjen1,cin1,qian1
韇,duwk4,duk6,du2
韈,mjwot4,maat6,wa4
韉,tsen1,zin1,jian1
韋,hjwɨj1,wai4,wei2
韌,nyin3,ngan6,ren4
韍,bij3,fat1,fu2
韎,mɛj3,mui6,mei4
韏,kjwen2,hyun3,quan4
韐,kop4,gaap3,ge2
韓,han1,hon4,han2
韔,trhjang3,coeng3,chang4
韖,nyuw2,jau5,rou2
韗,hjun3,wan6,yun4
韘,syep4,sip3,she4
韙,hjwɨj2,wai5,wei3
韜,thaw1,tou1,tao1
韞,ʔjun2,wan3,yun4
韞,ʔwon1,wan1,wen1
韠,pit4,bat1,bi4
韡,hjwɨj2,wai5,wei3
韣,duwk4,duk6,du2
韭,kjuw2,gau2,jiu3
韱,sjem1,cim1,xian1
音,ʔim1,jam1,yin1
韶,dzyew1,siu4,shao2
韺,ʔjæng1,jing1,ying1
韻,hjun3,wan6,yun4
韽,ʔom1,am1,an1
響,xjang2,hoeng2,xiang3
頀,hu3,wu6,hu4
頁,het4,kit3,xie2
頂,teng2,deng2,ding3
頃,khjwieng2,king2,qing3
頃,khjwieng1,king1,qing1
頄,gwij1,kwai4,kui2
項,hæwng2,hong6,xiang4
順,zywin3,seon6,shun4
頇,xan1,hon1,han1
須,sju1,seoi1,xu1
頊,ngjowk4,juk1,xu1
頌,yowng1,zung6,song4
頌,yowng1,jung4,rong2
頍,khjwe2,kwai1,kui3
頎,gjɨj1,kei4,qi2
頏,hang1,hong4,hang1
預,yo3,jyu6,yu4
頑,ngwæn1,waan4,wan2
頒,pæn1,baan1,ban1
頒,bjun1,fan4,fen2
頓,twon3,deon6,dun4
頔,khjwieng2,dik6,di2
頖,phwan3,pun3,pan4
頗,phwa1,po2,po1
領,ljieng2,ling5,ling3
頜,hom2,hap6,he2
頝,khæw1,haau1,qiao1
頞,ʔat4,aat3,e4
頠,ngjwe2,ngai5,wei3
頡,het4,git3,xie2
頡,kɛt4,kit3,jie2
頤,yi1,ji4,yi2
頦,hoj1,hoi4,ke1
頨,xjwen1,pin3,pian1
頩,pheng1,ping1,ping1
頪,lwaj3,loi6,lei4
頫,pju2,fu2,fu3
頫,thew3,tiu3,tiao4
頭,duw1,tau4,tou2
頭,duw1,tau4,tou
頮,xwoj3,fui3,hui4
頰,kep4,gaap3,jia2
頲,theng2,ting5,ting3
頷,hom1,ham5,han4
頸,gjieng1,geng2,jing3
頹,dwoj1,teoi4,tui2
頻,bin1,pan4,pin2
顁,teng3,ding3,ding4
顄,hom1,ham5,han4
顅,khɛn1,haan1,jian1
顆,khwa2,fo2,ke1
顉,khim1,ham6,qin1
題,dej1,tai4,ti2
額,ngæk4,ngaak6,e2
顎,ngak4,ngok6,e4
顏,ngæn1,ngaan4,yan2
顐,hwon1,wan6,hun2
顑,khom2,ham2,kan3
顒,ngjowng1,jung4,yong2
顓,tsywen1,zyun1,zhuan1
顖,sin3,seon2,xin4
